2022/09/06-00:55:04 - ML.py - run_animation_ca - DEBUG - Initial:
_____________________________________________________________________
|   Car    |   Lane   |   Position   |   Velocity   |   Max Speed   |
|   252    |      3   |   83.00000   |   0.000000   |   2.0000000   |
|   253    |      1   |   84.00000   |   0.000000   |   2.0000000   |
|   254    |      2   |   84.00000   |   0.000000   |   2.0000000   |
|   255    |      3   |   84.00000   |   0.000000   |   2.0000000   |
|   256    |      1   |   85.00000   |   0.000000   |   2.0000000   |
|   257    |      2   |   85.00000   |   0.000000   |   2.0000000   |
|   258    |      3   |   85.00000   |   0.000000   |   2.0000000   |
|   259    |      1   |   86.00000   |   0.000000   |   2.0000000   |
|   260    |      2   |   86.00000   |   0.000000   |   2.0000000   |
|   261    |      3   |   86.00000   |   0.000000   |   2.0000000   |
|   262    |      1   |   87.00000   |   0.000000   |   2.0000000   |
|   263    |      2   |   87.00000   |   0.000000   |   2.0000000   |
|   264    |      3   |   87.00000   |   0.000000   |   2.0000000   |
|   265    |      1   |   88.00000   |   0.000000   |   2.0000000   |
|   266    |      2   |   88.00000   |   0.000000   |   2.0000000   |
|   267    |      3   |   88.00000   |   0.000000   |   2.0000000   |
|   268    |      1   |   89.00000   |   0.000000   |   2.0000000   |
|   269    |      2   |   89.00000   |   0.000000   |   2.0000000   |
|   270    |      3   |   89.00000   |   0.000000   |   2.0000000   |
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

